truncated_sentence,genre,generated_sentence,model
And after several correspondents,news," began searching, they realized that the man had disappeared from his home shortly after leaving his family in October.",openai-community/gpt2
And after several correspondents,news," on Sunday, the group's leaders issued a press release saying it ""concerned that one of our key participants has shown signs of psychological problems (e.g., depressed mood); [we would like to] clarify that we",openai-community/gpt2
He sloshed his drink,adventure,", and was on his knees beside my sister's.",openai-community/gpt2
He sloshed his drink,adventure," down his face and tried to regain his composure, but the waitress still asked his question, and he did not seem to answer the question.",openai-community/gpt2
He sloshed his drink,adventure,". ""Walt?"" There was a look of puzzlement on his face, but soon he pulled it out.

""Yes sir,"" the sheriff's chief said.

""What does not need doing sir",openai-community/gpt2
"The establishment , by",editorial," contrast, is a force, not just any institution, that fights for its members.",openai-community/gpt2
"The establishment , by",editorial," the way, has also seen the emergence of a new form of populism

I would describe this as the first time those seeking to take control of the political process were so ready to exploit the media to promote their own ideology.",openai-community/gpt2
"The establishment , by",editorial," all accounts, has failed to make the fundamental change that is required if they are to win the White House.",openai-community/gpt2
another reports that a,learned, number of police officers have been injured during clashes with militants in the North's east.,openai-community/gpt2
another reports that a,learned," report was coming out of Turkey about the death of a journalist from the Islamic State group and ""hundreds more journalists are being attacked in the same areas.""

The United States says its air strikes to fight IS hit the militant",openai-community/gpt2
another reports that a,learned," woman took advantage of her own anger toward Trump by saying ""I won't be Trump's president,"" and that he would destroy her ""in his own way.""

Trump and his allies were quick to deny that he was mocking",openai-community/gpt2
The whole act,lore,", which will take about 100 days and will take you to Australia,"" added Mr Turnbull.",openai-community/gpt2
The whole act,lore," was a perfect blend of drama and thriller and in that way, the movie is a huge story.",openai-community/gpt2
The whole act,lore, of the crime was of paramount importance to our nation as well as to the people.,openai-community/gpt2
It was you,adventure,", your girlfriend, and the way you used to play those cards,"" the teacher explained.",openai-community/gpt2
It was you,adventure, who told me I couldn't go back to work.,openai-community/gpt2
It was you,adventure,", the child, that I wanted to be a part of that day.",openai-community/gpt2
The girl nodded understandingly,humor,". ""I'm sorry, but you have to wait, to my room when I get back."" With that, she set her phone down on the table in the middle of the room. ""Just say I was about to",openai-community/gpt2
The girl nodded understandingly,humor,".

""Let's go. Letin' off the heavy steel.""

""I will, Princess Jasmine, as much as you want to, so be it.""

""You know you don't",openai-community/gpt2
The girl nodded understandingly,humor,.,openai-community/gpt2
The King Arthur,mystery,"'s Court, (Nomura)

The King Arthur's Court is a new royal court established by King Edward VII and the King William of Orange.",openai-community/gpt2
The King Arthur,mystery,.,openai-community/gpt2
The King Arthur,mystery, legend is true - the Royal Court has given itself up to royal power to wield the true powers of government (often in the King's name).,openai-community/gpt2
